DMS结算订单,DMS行唯一ID,DMS行下层明细ID,DMS参考订单号码,DMS订单行号,工厂,DRP订单金额,DRP/LTC折扣金额,SD 凭证,交货,开票凭证,处理日期,处理时间,消息文本,信息类型,DMS收入确认回传,消息文本.1
ZRTC20260407044,1-7O45EL,QC@75254643,12064552,HLB-b316747d-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.08,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439912,12064554,HLB-b3c8388c-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439915,12064554,HLB-b3a6b7c7-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439916,12064554,HLB-b3c83b45-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439917,12064554,HLB-b3a6ba5c-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439918,12064554,HLB-b3a6b842-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439919,12064554,HLB-b3c83a0c-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439920,12064554,HLB-b3a6ba70-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439921,12064554,HLB-b3a6b925-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439922,12064554,HLB-b3c839b5-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439923,12064554,HLB-b3c83ba8-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439925,12064554,HLB-b3c83bbc-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439926,12064554,HLB-b3a6b77f-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439927,12064554,HLB-b3c83af1-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439928,12064554,HLB-b3a6b85a-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439929,12064554,HLB-b3c83ab5-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439930,12064554,HLB-b3c83be3-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439931,12064554,HLB-b3a6ba33-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439932,12064554,HLB-b3c83b93-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439934,12064554,HLB-b3c83a21-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439935,12064554,HLB-b3a6baff-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439936,12064554,HLB-b3c8379b-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439937,12064554,HLB-b3a6b9cf-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439938,12064554,HLB-b3c83ac8-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439940,12064554,HLB-b3a6ba49-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439941,12064554,HLB-b3c83aa0-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EM,QC@73439942,12064554,HLB-b3c83b31-3a13-11f0-8cdb-0c42a112278c,1000.0,-443.43,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
